"Gene","K562.CS","K562.adjusted.p.value","max.new.gamma","max.new.p.value","max.old.gamma","max.old.p.value","CD437.gamma","CD437.p.value"
"ANAPC5",-2.823,0.000452808,-0.301078311352,2.85085240258e-07,-0.130996793794,1.11355076199e-06,-0.0463648420699,0.000895125509422
"ATP1A1",-2.994,3.76e-05,-0.300826194937,3.22644057381e-05,-0.114017113726,4.51032149211e-05,-0.0441217240264,0.000714984070857
"ATP6V1B2",-3.872,0.000969381,-0.341929080351,9.99872797541e-05,-0.125590541969,3.26964080844e-05,-0.035100032759,1.42458942979e-05
"CAD",-3.9,3.04e-05,-0.468651190758,8.30539377059e-07,-0.115993614807,5.65427643025e-07,-0.034591228995,4.1684439962e-05
"CDC5L",-2.718,0.000141497,-0.372131231519,4.79576012526e-05,-0.108520320991,1.92249544566e-05,-0.0462404199304,5.43633610925e-07
"CHMP2A",-2.993,0.000314382,-0.266184447129,2.15924255958e-05,-0.0770830641189,2.06323454941e-05,-0.0362454685043,0.000949989307329
"CPSF1",-3.079,0.000256974,-0.320052779051,2.21175843499e-05,-0.121176560868,1.17741063871e-05,-0.0421245411814,0.000167316367415
"CSTF3",-2.394,0.000515354,-0.224849626446,5.95645291186e-05,-0.10064312045,6.94374658156e-05,-0.0406053108865,6.13364448024e-06
"DARS",-3.989,0.000239937,-0.30751797793,7.53807986118e-06,-0.113365919383,1.61580216541e-05,-0.0428821231916,6.2788783855e-08
"DYNC1H1",-4.416,0.000632128,-0.296079884571,4.4560569018e-06,-0.112489491275,6.76465141128e-07,-0.0406965104928,2.09321236472e-06
"EIF3D",-3.615,0.000156193,-0.251995369436,9.68466549856e-06,-0.0971792796425,7.20838945668e-08,-0.039487223385,7.57184457336e-05
"EIF6",-4.189,0.0003317,-0.273681183972,1.46236397188e-05,-0.126524653026,3.31748662315e-06,-0.0379933140108,7.32966328467e-05
"FARSA",-3.184,3.04e-05,-0.32290119604,0.000146776999928,-0.123562030169,0.000595295653394,-0.0373792967242,0.000265268292499
"FARSB",-3.465,0.000370183,-0.260563093205,4.15661038849e-05,-0.126169846394,6.77116471051e-06,-0.040065718363,8.42298367182e-05
"GTF2H4",-2.389,0.000454226,-0.286265559272,1.13246488739e-06,-0.116762756379,5.71962071245e-06,-0.0570902405634,1.1768310052e-05
"HSCB",-3.989,0.00012157,-0.10878329576,4.6758830313e-05,-0.0546459005039,0.000684458142319,-0.0369935162954,8.87311099767e-06
"HSD17B10",-2.685,6.35e-05,-0.476801975861,6.3239641281e-11,-0.168446018805,1.76599052451e-10,-0.0466889952496,2.42968156438e-11
